LoanNumber,LoanPhase,LoanProgram,LoanSubType,State,City,County,Zip,Sum of PropertyCount,Sum of UnitCount,Sum of Sqft,Sum of MedianSqft,Avg. Prop. Cost/Sqft
72248,Servicing,New Construction,Refi-External,Idaho,Boise,Ada,83714,11,17,"23,400","23,400",$128.21
72247,Paid Off,New Construction,Refi-External,Idaho,Eagle,Ada,83646,5,5,"16,029","16,029",$173.02
72245,Servicing,New Construction,Refi-External,Florida,Santa Rosa Beach,Walton,32459,2,2,"10,900","10,900",$256.88
72244,Production,Fix and Flip,Refi-External,Florida,Miami,Miami-Dade,33135,1,1,"2,542","2,542",$64.50
72241,Production,New Construction,Refi-External,Michigan,Birmingham,Oakland,48009,1,1,"6,027","6,027",$278.90
72237,Production,New Construction,Refi-External,Oregon,Albany,Linn,97322,1,35,"33,600",960,$122.80
72235,Paid Off,New Construction,Refi-External,North Carolina,Chapel Hill,Orange,27514,1,1,"3,100","3,100",$153.50
72233,Paid Off,All In One,Refi-External,Utah,Garden City,Rich,84028,4,15,"29,050","6,225",$92.05
72232,Servicing,Fix and Flip,Refi-External,Texas,Houston,Harris,77079,1,1,"3,923","3,923",$75.69
72230,Paid Off,New Construction,Purchase,Idaho,Caldwell,Canyon,83607,4,4,"8,878","8,878",$168.79
72229,Servicing,New Construction,Purchase,Idaho,Caldwell,Canyon,83607,20,20,"42,105","42,105",$202.65
72223,Servicing,New Construction,Purchase,Washington,Kirkland,King,98034,1,1,"4,135","4,135",$200.64
72221,Servicing,New Construction,Purchase,Washington,Kirkland,King,98034,1,1,"3,151","3,151",$263.30
72220,Servicing,New Construction,Purchase,Washington,Kirkland,King,98034,1,1,"4,608","4,608",$204.39
72219,Servicing,New Construction,Purchase,Washington,Kirkland,King,98034,1,1,"4,600","4,600",$214.86
72218,Servicing,New Construction,Purchase,Washington,Kirkland,King,98034,1,1,"4,400","4,400",$215.47
72217,Servicing,New Construction,Purchase,Washington,Kirkland,King,98034,1,1,"4,581","4,581",$219.68
72216,Servicing,New Construction,Purchase,Washington,Kirkland,King,98034,1,1,"4,608","4,608",$222.52
72215,Servicing,New Construction,Refi-External,California,Citrus Hts,Sacramento,95610,5,5,"7,696","7,696",$170.31
72214,Servicing,All In One,Refi-External,California,Sacramento,Sacramento,95824,12,12,"18,698","18,698",$126.02
72212,Paid Off,New Construction,Refi-External,North Dakota,West Fargo,Cass,58078,12,12,"16,056","16,056",$166.84
72211,Servicing,New Construction,Purchase,Washington,Kingsgate,King,98034,1,1,"3,500","3,500",$249.61
72209,Servicing,New Construction,Refi-External,California,San Jose,Santa Clara,95125,1,1,"3,476","3,476",$286.60
72206,Servicing,New Construction,Refi-External,Florida,Palm Beach Shores,Palm Beach,33404,3,15,"42,330","7,320",$363.92
72205,Servicing,Multifamily,Refi-External,California,Culver City,Los Angeles,90230,1,17,"22,768","1,189",$392.30
72204,Servicing,New Construction,Refi-External,Florida,Deltona,Volusia,32738,5,105,"108,885","4,755",$116.11
72203,Paid Off,New Construction,Refi-External,Colorado,Denver,Adams,80221,2,19,"26,688","2,755",$165.61
72201,Production,New Construction,Purchase,Florida,Marco Island,Collier,34145,2,2,"3,689","3,689",$796.19
72199,Production,New Construction,Purchase,Florida,Miami,Miami-Dade,33127,1,20,"9,800",480,$204.08
72198,Servicing,Fix and Flip,Purchase,North Carolina,Sherrills Ford,Catawba,28673,1,1,"3,051","3,051",$60.24
72196,Servicing,Multifamily,Refi-External,California,San Diego,San Diego,92101,1,1,"25,964","25,964",$481.36
72191,Paid Off,New Construction,Refi-External,Florida,Grand Island,Lake,32735,6,6,"12,024","12,024",$104.67
72189,Servicing,New Construction,Refi-External,Arizona,Marana,Pima,85658,1,1,"4,178","4,178",$239.35
72186,Servicing,New Construction,Refi-External,Arizona,Vail,Pima,85641,1,1,"2,873","2,873",$174.03
72185,Paid Off,New Construction,Refi-External,Colorado,Colo Spgs,El Paso,80918,3,3,"5,030","5,030",$162.41
72182,Servicing,All In One,Purchase,Florida,Tampa,Hillsborough,33614,8,56,"100,800","14,400",$107.28
72181,Paid Off,New Construction,Purchase,North Carolina,Charlotte,Mecklenburg,28209,1,2,"5,600","2,800",$139.43
72179,Production,New Construction,Refi-External,Texas,Joshua,Johnson,76058,5,5,"10,605","10,605",$700.66
72178,Servicing,Multifamily,Purchase,California,Napa,Napa,94559,1,6,"4,950",825,$107.37
72173,Servicing,New Construction,Purchase,Idaho,Eagle,Ada,83616,1,1,"2,913","2,913",$182.70
72172,Servicing,All In One,Refi-External,Idaho,Boise,Ada,83713,3,9,"14,320","3,580",$117.32
72171,Paid Off,New Construction,Refi-External,Colorado,Pueblo West,Pueblo,81007,1,1,"1,691","1,691",$167.99
72170,Servicing,New Construction,Refi-External,Florida,Sarasota,Sarasota,34236,1,6,"11,376","1,468",$52.04
72169,Production,New Construction,Refi-External,Florida,Naples,Collier,34114,1,11,"33,950","2,950",$286.60
72168,Production,All In One,Refi-External,California,Moreno Valley,Riverside,92553,1,58,"91,716","1,514",$182.25
72167,Paid Off,New Construction,Purchase,Idaho,Star,Ada,83669,2,2,"5,302","5,302",$159.39
